Name,Website,City,County,Fat Access Info,Status,New Status Field,,Notes
Alyebury Waterside Theatre,https://www.atgtickets.com/venues/aylesbury-waterside-theatre/,Alyesbury,Buckinghamshire,,Requested - Acknowledged,In Progress,,ATG confirmed this would be worked on. Keep checking!
Castle Theatre,https://www.parkwoodtheatres.co.uk/,Wellingborough,East Midlands,,Requested - Acknowledged,In Progress,,"20/06/23 - Requested 
23/07/23 - working on providing."
Hazlitt Theatre,https://www.parkwoodtheatres.co.uk/,Maidstone,Kent,,Requested - Acknowledged,In Progress,,"20/06/23 - Requested 
23/07/23 - working on providing."
The Playhouse,https://www.parkwoodtheatres.co.uk/,Weston-Super-Mare,Somerset,,Requested - Acknowledged,In Progress,,"20/06/23 - Requested 
23/07/23 - working on providing."
The Hawth,https://www.parkwoodtheatres.co.uk/,Crawley,West Sussex,,Requested - Acknowledged,In Progress,,"20/06/23 - Requested 
23/07/23 - working on providing."
Royal Shakespeare Company,https://www.rsc.org.uk/,Stratford-Upon-Avon,Warwickshire,,Requested - Chased,Requested,,"16/06/23 - Requested
24/07/23 - Chased"
Swan Theatre,https://www.rsc.org.uk/,Stratford-Upon-Avon,Warwickshire,,Requested - Chased,Requested,,"16/06/23 - Requested
24/07/23 - Chased"
Other Place Theatre,https://www.rsc.org.uk/,Stratford-Upon-Avon,Warwickshire,,Requested - Chased,Requested,,"16/06/23 - Requested
24/07/23 - Chased"
Grand Opera House,https://www.goh.co.uk/,Belfast,Country Antrim,,Requested - Acknowledged,In Progress,,"20/06/23 - Requested, passed on to management team."
The Devonshire,https://www.eastbournetheatres.co.uk/,Eastbourne,East Sussex,,Requested - Chased,Requested,,"16/06/23 - Requested
24/07/23 - Chased"
Congress Theatre,https://www.eastbournetheatres.co.uk/,Eastbourne,East Sussex,,Requested - Chased,Requested,,"16/06/23 - Requested
24/07/23 - Chased"
Winter Gardens,https://www.eastbournetheatres.co.uk/,Eastbourne,East Sussex,,Requested - Chased,Requested,,"16/06/23 - Requested
24/07/23 - Chased"
Wolverhampton Grand Theatre,https://www.grandtheatre.co.uk/,Wolverhampton,West Midlands,,Requested - Chased,Requested,,"20/06/23 - Requested
24/07/23 - Chased"
Winding Wheel Theatre,https://chesterfieldtheatres.co.uk/,Chesterfield,Derbyshire,,Campaign Win,Information Available - Win,,"STALLS
Width - 42cm
Depth - 40cm
Leg Room – 47cm 

CIRCLE
Arm to Arm Width – 44cm (arms do not move)
Depth - 46cm
Leg Room – 28-40cm (depending where in the circle)"
Corn Exchange,https://ipswichtheatres.co.uk/our-venues/,Ipswich,Suffolk,,Requested,Requested,,"20/06/23 - Requested (website form)
02/08/23 - Chased"
The Regent Theatre,https://ipswichtheatres.co.uk/our-venues/,Ipswich,Suffolk,,Requested,Requested,,"20/06/23 - Requested (website form)
02/08/23 - Chased"
Cube Bristol,https://www.cubecinema.com/,Bristol,Bristol,,Provided - Not on Website,Information Available - Win,,"The cube seats are 42cm wide, edge of arm rest to edge of arm rest. And 44cm deep. The arm rests are fixed."
Marlowe Theatre,https://marlowetheatre.com/,Canterbury,Kent,,Requested,Requested,,18/07/23 - Requested
The Plaza,https://stockportplaza.co.uk/,Stockport,Cheshire,,Requested,Requested,,24/07/23 - Requested
The Watermill,https://www.watermill.org.uk/,Bagnor,Berkshire,,Requested,Requested,,24/07/23 - Requested
Royal Hippodrome Theatre,https://royalhippodrome.com/,Eastbourne,East Sussex,,Requested,Requested,,24/07/23 - Requested
The Stables,https://stablestheatre.co.uk/,Hasting,East Sussex,,Requested,Requested,,24/07/23 - Requested
Chichester Festival Theatre,https://www.cft.org.uk/,Chichester,West Sussex,,Requested - Acknowledged,In Progress,,"24/07/23 - Requested, confirmed they would look at providing."
Theatre Royal Windsor,https://theatreroyalwindsor.co.uk/,Windsor,Berkshire,,Requested,Requested,,24/07/23 - Requested
The Orchard Theatre,https://orchardtheatre.co.uk/Online/default.asp,Dartford,Kent,,Requested,Requested,,24/07/23 - Requested
Mayflower Threatre,https://www.mayflower.org.uk/,Southampton,Hampshire,,Already Existed,Information Available,,"Our seat widths vary between 51 and 55 cm, X13 and X25 are 57cm. If you need more space, we can arrange for you to sit in an armless chair in the back row of the Stalls or Circle. Please contact the Box Office."
The Malthouse Theatre,https://malthousetheatre.co.uk/,Canterbury,Kent,,Requested,Requested,,24/07/23 - Requested
Milton Keynes Theatre,https://www.miltonkeynes-theatre.co.uk/,Milton Keynes,Buckinghamshire,,Campaign Win,Information Available - Win,,Our auditorium seats are approximately 50cm wide with non-moving armrests. All seats in our Boxes are free-standing.
,,,,,,,,
The Tower Theatre,https://towertheatrefolkestone.co.uk/,Folkestone,Kent,,Requested - Acknowledged,In Progress,,"24/07/23 - Requested
28/07/23 - Confirmed they would work on updating their website."
Birmingham Rep,https://www.birmingham-rep.co.uk/,Birmingham,West Midlands,,Already Existed,Information Available,,"Our auditorium seats are 60cm high, 48cm and 48cm deep. There is a handrail on one side of the staircase inside the auditorium. Level entry to the auditorium with step-free seating access is available on rows D & L."
Rugby Theatre,http://www.rugbytheatre.co.uk/,Rugby,Warwickshire,,Requested,Requested,,24/07/23 - Requested
Midlands Arts Centre,https://macbirmingham.co.uk/,Birmingham,West Midlands,,Requested,Requested,,24/07/23 - Requested
Wycombe Swan Theatre,https://wycombeswan.co.uk/Online/default.asp,High Wycombe,Buckinghamshire,,Requested,Requested,,24/07/23 - Requested
Playhouse,https://www.playhousewhitleybay.co.uk/,Whitley Bay,Tyne and Wear,,Requested,Requested,,24/07/23 - Requested
The Customs House,https://www.customshouse.co.uk/theatre/?,South Shields,Tyne and Wear,,Requested,Requested,,24/07/23 - Requested
Live Theatre,https://www.live.org.uk/,Newcastle,Tyne and Wear,,Requested,Requested,,24/07/23 - Requested
